epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	8.2946	2.5093	5.5242	0.5220	0.1339	0.2119	0.9801	0.1949	0.3228	0.0737	0.0053	0.0000	0.0793	0.1154	241.11	6000	0.50000	0.4213	0.4287	4.258	0.09403	5.6515	172
1	3266	7.2322	2.0523	4.9954	0.3689	0.2318	0.2718	0.8852	0.2309	0.4132	0.1228	0.0105	0.0000	0.0816	0.1477	90.38	6000	0.50000	0.4473	0.4266	3.970	0.13733	9.2517	344
2	4899	6.8726	1.9163	4.7802	0.3522	0.2714	0.3009	0.7269	0.2564	0.4649	0.1570	0.0140	0.0018	0.0864	0.1669	67.68	6000	0.50000	0.4423	0.4229	3.863	0.14650	10.3727	518
3	6532	6.6687	1.8374	4.6582	0.3461	0.2968	0.3116	0.5314	0.2508	0.4439	0.1544	0.0123	0.0000	0.0862	0.1608	55.66	6000	0.50000	0.4430	0.4243	3.904	0.16031	11.8669	694
4	8165	6.4216	1.7571	4.4960	0.3369	0.3218	0.3416	0.3306	0.2702	0.4842	0.1982	0.0254	0.0018	0.0883	0.1716	50.86	6000	0.50000	0.4437	0.4239	3.710	0.17951	12.7034	869
5	9798	6.1819	1.6778	4.3400	0.3282	0.3467	0.3868	0.1578	0.2859	0.5044	0.2228	0.0272	0.0009	0.0847	0.1932	39.32	6000	0.50000	0.4483	0.4251	3.695	0.18004	12.7645	1043
6	11431	5.9741	1.6084	4.2046	0.3221	0.3683	0.4029	0.0412	0.2888	0.5175	0.2298	0.0298	0.0018	0.0875	0.1936	35.04	6000	0.50000	0.4481	0.4247	3.678	0.18223	13.0885	1221
7	13064	5.8603	1.5696	4.1312	0.3189	0.3817	0.3999	0.0000	0.2822	0.4965	0.2158	0.0263	0.0000	0.0841	0.1920	34.56	6000	0.50000	0.4483	0.4253	3.659	0.18167	13.1731	1397
