epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
45	132388	1.6710	0.0512	0.7076	0.4226	0.9435	0.2042	0.3380	0.1784	0.0399	0.0023	0.1996	0.0046	23234
46	135266	1.6674	0.0510	0.7062	0.4237	0.9410	0.2087	0.3427	0.1796	0.0481	0.0023	0.2076	0.0011	23738
47	138144	1.6670	0.0510	0.7059	0.4242	0.9385	0.2010	0.3462	0.1725	0.0317	0.0012	0.2009	0.0002	24243
48	141022	1.6633	0.0509	0.7043	0.4253	0.9360	0.2118	0.3498	0.1890	0.0423	0.0035	0.2055	0.0063	24750
49	143900	1.6523	0.0503	0.7004	0.4284	0.9334	0.2087	0.3498	0.1796	0.0516	0.0047	0.2083	0.0003	25257
50	146778	1.6546	0.0505	0.7011	0.4278	0.9308	0.2113	0.3486	0.1995	0.0505	0.0000	0.2026	0.0088	25764
51	149656	1.6435	0.0501	0.6965	0.4318	0.9281	0.1971	0.3392	0.1761	0.0340	0.0012	0.1913	0.0058	26271
52	152534	1.6449	0.0499	0.6978	0.4301	0.9253	0.2033	0.3451	0.1819	0.0411	0.0012	0.2002	0.0031	26777
53	155412	1.6374	0.0497	0.6945	0.4326	0.9226	0.2047	0.3404	0.1843	0.0469	0.0047	0.2010	0.0037	27283
54	158290	1.6302	0.0494	0.6915	0.4349	0.9197	0.1940	0.3415	0.1620	0.0364	0.0035	0.1982	-0.0042	27790
55	161168	1.6270	0.0492	0.6905	0.4358	0.9169	0.2041	0.3298	0.1890	0.0317	0.0012	0.2013	0.0027	28298
56	164046	1.6192	0.0489	0.6872	0.4388	0.9140	0.2044	0.3380	0.1831	0.0446	0.0023	0.2045	-0.0001	28804
57	166924	1.6138	0.0487	0.6852	0.4401	0.9110	0.2074	0.3415	0.1878	0.0458	0.0023	0.2050	0.0024	29311
58	169802	1.6165	0.0488	0.6864	0.4387	0.9080	0.2062	0.3415	0.1831	0.0423	0.0012	0.2038	0.0024	29816
59	172680	1.6104	0.0485	0.6839	0.4404	0.9049	0.2155	0.3533	0.1925	0.0552	0.0023	0.2097	0.0058	30323
60	175558	1.6043	0.0482	0.6815	0.4424	0.9018	0.1997	0.3322	0.1808	0.0364	0.0035	0.2033	-0.0036	30830
61	178436	1.6010	0.0481	0.6802	0.4432	0.8987	0.2052	0.3404	0.1761	0.0469	0.0023	0.2027	0.0025	31335
62	181314	1.5957	0.0479	0.6782	0.4448	0.8955	0.2039	0.3404	0.1854	0.0387	0.0012	0.2059	-0.0020	31841
63	184192	1.5928	0.0477	0.6771	0.4454	0.8923	0.2091	0.3427	0.1960	0.0446	0.0012	0.2106	-0.0015	32347
64	187070	1.5817	0.0474	0.6724	0.4496	0.8890	0.2013	0.3322	0.1749	0.0246	0.0000	0.2013	0.0000	32854
65	189948	1.5807	0.0472	0.6723	0.4491	0.8857	0.2012	0.3462	0.1737	0.0458	0.0012	0.1990	0.0021	33360
66	192826	1.5737	0.0470	0.6693	0.4515	0.8824	0.2009	0.3404	0.1819	0.0352	0.0000	0.2038	-0.0028	33866
67	195704	1.5582	0.0465	0.6629	0.4566	0.8790	0.2072	0.3380	0.1901	0.0423	0.0023	0.2097	-0.0025	34370
68	198582	1.5658	0.0467	0.6660	0.4540	0.8755	0.2068	0.3439	0.1819	0.0399	0.0000	0.2110	-0.0042	34875
69	201460	1.5581	0.0462	0.6636	0.4552	0.8720	0.2124	0.3580	0.1937	0.0364	0.0023	0.2074	0.0051	35380
70	204338	1.5490	0.0461	0.6594	0.4589	0.8685	0.2015	0.3404	0.1890	0.0411	0.0012	0.1996	0.0019	35886
71	207216	1.5477	0.0461	0.6587	0.4592	0.8650	0.2021	0.3509	0.1819	0.0282	0.0035	0.2049	-0.0027	36389
72	210094	1.5412	0.0457	0.6564	0.4610	0.8614	0.2061	0.3369	0.1854	0.0411	0.0023	0.2051	0.0011	36895
73	212972	1.5360	0.0453	0.6547	0.4619	0.8577	0.2102	0.3486	0.1866	0.0364	0.0012	0.2102	-0.0001	37400
74	215850	1.5239	0.0451	0.6492	0.4665	0.8540	0.2033	0.3275	0.1925	0.0493	0.0012	0.2037	-0.0004	37904
