epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.5764	2.5494	5.5182	0.8203	0.1266	0.2214	0.9801	0.2092	0.3746	0.0868	0.0079	0.0000	0.0897	0.1171	28.07	6000	0.50000	0.4554	0.4397	3.985	0.29923	24.8312	172
1	3266	8.6196	2.0206	4.9893	0.4595	0.2425	0.2865	0.8852	0.2536	0.4772	0.1456	0.0079	0.0000	0.0934	0.1565	25.17	6000	0.50000	0.4493	0.4148	4.222	0.35141	28.0485	344
2	4899	8.1194	1.8817	4.7933	0.4276	0.2849	0.3076	0.7269	0.2669	0.4939	0.1851	0.0175	0.0000	0.0901	0.1695	18.33	6000	0.50000	0.4508	0.4176	3.608	0.36895	31.3474	518
3	6532	7.7443	1.7940	4.6149	0.4171	0.3109	0.3530	0.5314	0.2870	0.5325	0.2140	0.0140	0.0018	0.0924	0.1865	13.31	6000	0.50000	0.4516	0.4025	3.643	0.39091	33.6645	694
4	8165	7.4078	1.7083	4.4335	0.4024	0.3381	0.3879	0.3306	0.3050	0.5553	0.2553	0.0263	0.0018	0.0939	0.2067	14.64	6000	0.50000	0.4461	0.4095	3.532	0.40460	34.7847	870
5	9798	7.0369	1.6198	4.2302	0.3944	0.3659	0.4169	0.1578	0.3072	0.5640	0.2404	0.0281	0.0009	0.0943	0.2041	14.07	6000	0.50000	0.4535	0.4098	3.627	0.41557	35.7992	1047
6	11431	6.7534	1.5454	4.0749	0.3854	0.3889	0.4336	0.0412	0.3067	0.5640	0.2298	0.0316	0.0000	0.0932	0.2066	13.44	6000	0.50000	0.4520	0.4105	3.644	0.42413	36.2674	1223
7	13064	6.6059	1.5064	3.9987	0.3819	0.4014	0.4309	0.0000	0.3012	0.5456	0.2316	0.0298	0.0000	0.0932	0.2022	13.09	6000	0.50000	0.4578	0.4063	3.559	0.41581	36.3229	1398
