epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.7344	2.5839	5.5295	0.8533	0.1197	0.2157	0.9801	0.2171	0.3886	0.0842	0.0044	0.0000	0.0918	0.1271	36.57	6000	0.50000	0.4540	0.4139	4.382	0.28042	23.4226	177
1	3266	8.8819	2.0890	5.0504	0.5266	0.2240	0.2401	0.8852	0.2260	0.4263	0.1149	0.0105	0.0009	0.0824	0.1385	20.59	6000	0.50000	0.4630	0.4023	3.617	0.33931	28.9836	355
2	4899	8.3603	1.9593	4.8589	0.4715	0.2607	0.3060	0.7269	0.2715	0.5114	0.1693	0.0123	0.0009	0.0904	0.1742	21.45	6000	0.50000	0.4570	0.3949	3.968	0.40830	32.8394	534
3	6532	7.9804	1.8699	4.6981	0.4269	0.2876	0.3230	0.5314	0.2753	0.5114	0.1956	0.0167	0.0000	0.0875	0.1787	18.72	6000	0.50000	0.4575	0.3870	3.826	0.42108	34.6901	715
4	8165	7.6364	1.7830	4.5249	0.4070	0.3139	0.3548	0.3306	0.2880	0.5219	0.2044	0.0184	0.0009	0.0909	0.1878	17.58	6000	0.50000	0.4535	0.3765	3.960	0.43529	35.5645	895
5	9798	7.3205	1.7180	4.3498	0.3923	0.3337	0.3731	0.1578	0.2885	0.5351	0.2044	0.0237	0.0000	0.0893	0.1906	18.84	6000	0.50000	0.4543	0.3836	3.922	0.43560	35.3512	1078
6	11431	7.0291	1.6493	4.1964	0.3833	0.3553	0.3862	0.0412	0.2909	0.5439	0.2070	0.0184	0.0009	0.0901	0.1934	16.55	6000	0.50000	0.4571	0.3791	3.834	0.44644	36.7476	1261
7	13064	6.8958	1.6145	4.1237	0.3785	0.3663	0.3911	0.0000	0.2918	0.5456	0.2026	0.0202	0.0000	0.0902	0.1952	17.34	6000	0.50000	0.4575	0.3833	3.788	0.44815	37.1814	1444
