epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	11.8358	3.2414	5.5952	0.8067	0.1238	0.1673	0.9801	0.1673	0.3026	0.0570	0.0000	0.0000	0.0781	0.0881	37.93	6000	0.04549	0.4885	0.4191	3.877	0.21352	18.9736	170
1	3266	9.6047	2.5917	5.1344	0.4655	0.2105	0.2371	0.8852	0.2186	0.3868	0.0965	0.0035	0.0000	0.0770	0.1452	22.84	6000	0.05430	0.4784	0.4016	3.976	0.34045	28.4332	341
2	4899	9.0887	2.4884	4.9657	0.4349	0.2306	0.2558	0.7269	0.2336	0.4342	0.1079	0.0053	0.0000	0.0816	0.1520	20.08	6000	0.06394	0.4797	0.4057	3.822	0.38074	31.0750	515
3	6532	8.7112	2.3966	4.8250	0.4093	0.2503	0.2746	0.5314	0.2418	0.4482	0.1228	0.0044	0.0000	0.0838	0.1581	15.86	6000	0.07238	0.4811	0.4054	3.792	0.41390	34.4364	688
4	8165	8.3491	2.3034	4.6832	0.3975	0.2707	0.2961	0.3306	0.2514	0.4825	0.1421	0.0070	0.0000	0.0820	0.1690	12.54	6000	0.07907	0.4892	0.4018	3.718	0.43731	36.7658	863
5	9798	8.0198	2.2248	4.5293	0.3796	0.2874	0.3121	0.1578	0.2439	0.4386	0.1465	0.0070	0.0000	0.0824	0.1612	13.56	6000	0.08195	0.4963	0.3959	3.771	0.43892	37.7494	1038
6	11431	7.7680	2.1565	4.4108	0.3693	0.3028	0.3218	0.0412	0.2475	0.4553	0.1412	0.0079	0.0000	0.0830	0.1639	13.19	6000	0.08456	0.4920	0.3970	3.640	0.45023	37.6876	1211
7	13064	7.6137	2.1038	4.3433	0.3672	0.3139	0.3303	0.0000	0.2504	0.4596	0.1465	0.0105	0.0000	0.0842	0.1657	12.97	6000	0.08665	0.4926	0.3929	3.623	0.45135	38.0313	1384
