epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
43	440	0.5284	0.0213	0.2109	0.7926	0.7877	0.6889	0.2335	0.4577	0.0896	0.0100	0.0000	0.1238	0.1110	221
44	450	0.5574	0.0220	0.2237	0.7806	0.7952	0.6726	0.2210	0.4179	0.0846	0.0149	0.0000	0.1213	0.1004	226
45	460	0.5451	0.0217	0.2184	0.7857	0.7989	0.6562	0.2387	0.4677	0.0896	0.0050	0.0000	0.1262	0.1129	230
46	470	0.5716	0.0226	0.2292	0.7750	0.7799	0.6395	0.2321	0.4328	0.0945	0.0050	0.0000	0.1195	0.1134	235
47	480	0.5434	0.0240	0.2117	0.7916	0.8251	0.6227	0.2295	0.4378	0.0746	0.0100	0.0000	0.1204	0.1103	240
48	490	0.4889	0.0191	0.1968	0.8063	0.8352	0.6057	0.2283	0.4179	0.0846	0.0100	0.0000	0.1182	0.1116	245
49	500	0.4856	0.0188	0.1959	0.8075	0.7903	0.5885	0.2154	0.4229	0.0597	0.0050	0.0000	0.1213	0.0952	249
50	510	0.5188	0.0202	0.2089	0.7953	0.8128	0.5713	0.2264	0.4179	0.0846	0.0199	0.0000	0.1218	0.1061	254
51	520	0.4768	0.0188	0.1915	0.8121	0.8249	0.5540	0.2229	0.4229	0.0697	0.0100	0.0000	0.1161	0.1084	259
52	530	0.4100	0.0151	0.1671	0.8353	0.8345	0.5366	0.2363	0.4478	0.1045	0.0050	0.0000	0.1226	0.1149	264
53	540	0.4257	0.0164	0.1718	0.8308	0.8315	0.5192	0.2234	0.4129	0.0945	0.0050	0.0000	0.1144	0.1101	269
54	550	0.3974	0.0156	0.1597	0.8428	0.8382	0.5017	0.2336	0.4378	0.0995	0.0050	0.0000	0.1211	0.1124	274
55	560	0.3863	0.0162	0.1527	0.8497	0.8516	0.4843	0.2333	0.4378	0.1045	0.0100	0.0000	0.1226	0.1115	279
56	570	0.3858	0.0156	0.1539	0.8483	0.8633	0.4669	0.2319	0.4478	0.0896	0.0199	0.0000	0.1153	0.1175	283
57	580	0.4556	0.0182	0.1822	0.8210	0.8363	0.4495	0.2264	0.4378	0.0697	0.0149	0.0000	0.1216	0.1062	288
58	590	0.4388	0.0167	0.1777	0.8248	0.8457	0.4321	0.2177	0.4428	0.0945	0.0000	0.0000	0.1209	0.0972	294
59	600	0.4446	0.0174	0.1788	0.8239	0.8553	0.4149	0.2150	0.4179	0.0697	0.0000	0.0000	0.1174	0.0980	299
60	610	0.4604	0.0178	0.1857	0.8171	0.8558	0.3978	0.2275	0.4428	0.0896	0.0100	0.0000	0.1213	0.1063	305
61	620	0.3906	0.0149	0.1580	0.8439	0.8623	0.3807	0.2278	0.4478	0.0995	0.0050	0.0000	0.1196	0.1088	310
