epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	11.2595	2.7238	5.5604	0.7245	0.0937	0.2074	0.9801	0.1996	0.3491	0.0728	0.0018	0.0000	0.0845	0.1114	47.50	6000	0.04582	0.4643	0.4237	4.122	0.22690	18.0929	173
1	3266	9.0385	2.0937	5.0500	0.4262	0.2229	0.2656	0.8852	0.2436	0.4368	0.1325	0.0140	0.0000	0.0914	0.1565	49.15	6000	0.05706	0.4589	0.4292	4.232	0.27708	22.6122	347
2	4899	8.4511	1.9246	4.8373	0.3901	0.2706	0.2931	0.7269	0.2606	0.4877	0.1675	0.0079	0.0000	0.0877	0.1701	30.99	6000	0.05700	0.4601	0.4219	3.992	0.32276	27.4828	523
3	6532	8.0552	1.8433	4.6673	0.3734	0.2936	0.3338	0.5314	0.2771	0.4991	0.1833	0.0175	0.0000	0.0921	0.1777	25.17	6000	0.06456	0.4456	0.4105	3.712	0.35205	30.3557	700
4	8165	7.6779	1.7564	4.4803	0.3547	0.3209	0.3652	0.3306	0.2927	0.5588	0.1868	0.0193	0.0009	0.0910	0.1916	22.16	6000	0.06952	0.4499	0.4014	3.887	0.37584	32.5720	877
5	9798	7.3395	1.6904	4.3018	0.3459	0.3414	0.3763	0.1578	0.2940	0.5307	0.2175	0.0254	0.0000	0.0960	0.1868	19.68	6000	0.07262	0.4594	0.4054	3.886	0.38707	33.5862	1054
6	11431	7.0868	1.6306	4.1639	0.3413	0.3601	0.3959	0.0412	0.2968	0.5254	0.2281	0.0272	0.0009	0.0935	0.1950	21.60	6000	0.07254	0.4543	0.4092	3.817	0.39030	34.3475	1231
7	13064	6.9577	1.5997	4.0909	0.3399	0.3703	0.3909	0.0000	0.2935	0.5307	0.2158	0.0316	0.0009	0.0944	0.1917	21.32	6000	0.07355	0.4566	0.4092	3.770	0.38904	34.2813	1408
