epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	11.2347	2.6757	5.5901	0.7717	0.1022	0.1909	0.9801	0.1820	0.3272	0.0746	0.0018	0.0000	0.0803	0.1024	41.41	6000	0.04488	0.4695	0.4342	3.518	0.23913	20.7872	174
1	3266	9.1217	2.1564	5.1186	0.4302	0.2054	0.2323	0.8852	0.2219	0.4018	0.1105	0.0035	0.0000	0.0844	0.1371	22.97	6000	0.05459	0.4697	0.4053	3.996	0.31215	27.1654	347
2	4899	8.6050	2.0640	4.9420	0.4000	0.2298	0.2425	0.7269	0.2134	0.3930	0.1105	0.0009	0.0000	0.0782	0.1354	18.51	6000	0.06492	0.4711	0.4057	3.745	0.35072	30.6545	520
3	6532	8.2055	1.9801	4.7900	0.3807	0.2540	0.2703	0.5314	0.2362	0.4298	0.1412	0.0053	0.0000	0.0752	0.1599	15.37	6000	0.07405	0.4695	0.4029	3.927	0.39924	34.2471	693
4	8165	7.8568	1.9225	4.6328	0.3708	0.2701	0.2945	0.3306	0.2437	0.4509	0.1412	0.0061	0.0000	0.0811	0.1656	13.18	6000	0.07845	0.4684	0.3991	3.723	0.42035	36.2717	867
5	9798	7.5613	1.8647	4.4785	0.3602	0.2868	0.3197	0.1578	0.2512	0.4588	0.1439	0.0140	0.0000	0.0838	0.1690	12.11	6000	0.08235	0.4691	0.3929	3.768	0.44786	38.3376	1041
6	11431	7.3291	1.8089	4.3610	0.3514	0.3041	0.3232	0.0412	0.2475	0.4456	0.1456	0.0114	0.0000	0.0788	0.1667	11.80	6000	0.08233	0.4704	0.4022	3.862	0.44174	38.1051	1216
7	13064	7.2123	1.7840	4.2937	0.3466	0.3112	0.3332	0.0000	0.2542	0.4728	0.1526	0.0061	0.0000	0.0797	0.1722	11.78	6000	0.08487	0.4689	0.3997	3.720	0.45145	39.0558	1390
