epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.5845	2.5409	5.5066	0.8569	0.1314	0.2424	0.9801	0.2392	0.4281	0.1316	0.0105	0.0009	0.0925	0.1422	14.17	6000	0.50000	0.4688	0.4230	3.587	0.34778	28.3493	825
1	3266	8.3210	1.9440	4.9438	0.4871	0.2679	0.2937	0.8852	0.2638	0.4825	0.1886	0.0149	0.0000	0.0927	0.1630	18.03	6000	0.50000	0.4595	0.4376	3.655	0.44217	37.5203	1651
2	4899	7.6747	1.7634	4.7077	0.4539	0.3242	0.3574	0.7269	0.2890	0.5298	0.2386	0.0228	0.0009	0.0938	0.1846	11.81	6000	0.50000	0.4848	0.3916	3.597	0.44761	40.2329	2477
3	6532	7.1610	1.6235	4.4930	0.4272	0.3693	0.4173	0.5314	0.3147	0.5482	0.2851	0.0553	0.0018	0.0995	0.2006	11.43	6000	0.50000	0.4716	0.4055	3.713	0.48580	42.4273	3303
4	8165	6.7038	1.4898	4.2977	0.4012	0.4132	0.4511	0.3306	0.3308	0.5711	0.3044	0.0561	0.0018	0.0999	0.2247	10.51	6000	0.50000	0.4728	0.4176	3.580	0.51545	44.3209	4130
5	9798	6.3062	1.3959	4.1048	0.3834	0.4454	0.4984	0.1578	0.3444	0.5877	0.3333	0.0588	0.0026	0.1011	0.2324	8.57	6000	0.50000	0.4831	0.4116	3.548	0.52940	47.0680	4956
6	11431	5.9630	1.2995	3.9414	0.3780	0.4777	0.5177	0.0412	0.3489	0.5860	0.3351	0.0798	0.0026	0.1049	0.2318	8.56	6000	0.50000	0.4867	0.4089	3.616	0.53346	47.3927	5783
7	13064	5.8172	1.2617	3.8654	0.3729	0.4909	0.5202	0.0000	0.3505	0.5947	0.3430	0.0754	0.0079	0.1004	0.2418	8.71	6000	0.50000	0.4840	0.4122	3.593	0.53323	47.5499	6610
