epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.4466	2.4853	5.5188	0.7590	0.1407	0.2049	0.9801	0.1940	0.3500	0.0860	0.0035	0.0000	0.0877	0.0952	28.31	6000	0.50000	0.4741	0.4156	4.074	0.34765	29.2758	172
1	3266	8.4540	2.0055	4.9803	0.4220	0.2464	0.2864	0.8852	0.2625	0.4807	0.1614	0.0105	0.0018	0.0918	0.1667	22.09	6000	0.50000	0.4584	0.4204	4.084	0.41708	35.7838	345
2	4899	7.9381	1.8656	4.7876	0.3888	0.2876	0.3349	0.7269	0.2843	0.5272	0.1912	0.0140	0.0000	0.0967	0.1817	23.36	6000	0.50000	0.4601	0.4066	3.820	0.44072	37.2846	520
3	6532	7.5574	1.7707	4.6082	0.3764	0.3173	0.3421	0.5314	0.2819	0.5202	0.1895	0.0193	0.0009	0.0972	0.1787	24.04	6000	0.50000	0.4637	0.3989	3.811	0.44863	38.8126	695
4	8165	7.1597	1.6669	4.4223	0.3636	0.3498	0.3949	0.3306	0.3020	0.5404	0.2404	0.0228	0.0000	0.0956	0.1977	26.41	6000	0.50000	0.4596	0.4063	3.903	0.46316	39.0708	870
5	9798	6.7842	1.5712	4.2314	0.3552	0.3803	0.4317	0.1578	0.3071	0.5623	0.2342	0.0272	0.0000	0.0952	0.2022	24.55	6000	0.50000	0.4640	0.4065	3.726	0.48168	41.6251	1048
6	11431	6.4699	1.4911	4.0691	0.3470	0.4055	0.4470	0.0412	0.3114	0.5763	0.2596	0.0289	0.0000	0.0987	0.2024	23.39	6000	0.50000	0.4654	0.3970	3.846	0.48981	42.3618	1226
7	13064	6.3351	1.4579	3.9969	0.3467	0.4168	0.4491	0.0000	0.3094	0.5596	0.2474	0.0351	0.0026	0.0946	0.2047	24.07	6000	0.50000	0.4615	0.4022	3.705	0.48846	41.8252	1404
