epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	11.1041	2.6382	5.5324	0.4866	0.1093	0.2075	0.9801	0.1955	0.3526	0.0693	0.0026	0.0000	0.0849	0.1057	1980.14	6000	0.50000	0.7390	0.0670	0.787	0.13742	10.3044	172
1	3266	9.4264	2.0911	5.0546	0.3780	0.2232	0.2424	0.8852	0.2179	0.3939	0.1219	0.0061	0.0000	0.0897	0.1349	1573.26	6000	0.50000	0.8087	0.0426	0.730	0.16180	12.2135	348
2	4899	9.0137	1.9539	4.8754	0.3635	0.2626	0.2556	0.7269	0.2298	0.4158	0.1377	0.0105	0.0000	0.0844	0.1375	1664.14	6000	0.50000	0.7922	0.0296	0.602	0.15825	12.5656	525
3	6532	8.7024	1.8698	4.7358	0.3532	0.2869	0.3017	0.5314	0.2585	0.4842	0.1649	0.0114	0.0000	0.0900	0.1609	1530.96	6000	0.50000	0.8219	0.0253	0.573	0.17446	13.6325	701
4	8165	8.3761	1.7875	4.5888	0.3468	0.3119	0.3348	0.3306	0.2752	0.5175	0.1737	0.0140	0.0009	0.0911	0.1751	1046.07	6000	0.50000	0.9068	0.0261	0.653	0.19998	15.5076	877
5	9798	8.1340	1.7361	4.4571	0.3315	0.3285	0.3417	0.1578	0.2765	0.5123	0.1965	0.0175	0.0000	0.0924	0.1761	1056.83	6000	0.50000	0.9046	0.0251	0.638	0.20140	15.9872	1053
6	11431	7.9518	1.6904	4.3552	0.3295	0.3429	0.3622	0.0412	0.2912	0.5404	0.2009	0.0228	0.0009	0.0933	0.1909	1072.50	6000	0.50000	0.8975	0.0253	0.642	0.20080	15.7289	1229
7	13064	7.8410	1.6695	4.2902	0.3278	0.3485	0.3644	0.0000	0.2925	0.5465	0.2000	0.0246	0.0009	0.0938	0.1914	1048.99	6000	0.50000	0.9071	0.0231	0.617	0.20456	16.0547	1405
