epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	15.4714	2.9315	5.9781	1.3875	0.0589	0.0794	0.9801	0.0826	0.1009	0.0228	0.0009	0.0000	0.0703	0.0095	5.32	6000	0.02066	0.4223	0.4533	77.408	0.05921	3.9476	171
1	3266	12.3688	2.7313	5.3845	0.8696	0.0912	0.1184	0.8852	0.1076	0.1754	0.0351	0.0000	0.0000	0.0652	0.0439	36.66	6000	0.02021	0.3525	0.4643	74.720	0.09495	7.0456	344
2	4899	10.7088	2.3349	5.1710	0.6860	0.1669	0.2079	0.7269	0.2158	0.3886	0.0947	0.0044	0.0000	0.0787	0.1328	7.33	6000	0.01944	0.3826	0.4585	72.206	0.14852	11.6805	519
3	6532	9.7690	2.1489	5.0023	0.5335	0.2071	0.2135	0.5314	0.2059	0.3570	0.0974	0.0026	0.0000	0.0744	0.1260	4.29	6000	0.02124	0.4105	0.4509	77.009	0.20581	16.5294	694
4	8165	9.2725	2.0839	4.8581	0.4593	0.2249	0.2416	0.3306	0.2212	0.3842	0.0991	0.0070	0.0000	0.0789	0.1392	3.27	6000	0.02226	0.4099	0.4480	76.693	0.22040	18.9777	868
5	9798	8.9059	2.0323	4.7215	0.4275	0.2398	0.2449	0.1578	0.2129	0.3728	0.0965	0.0035	0.0000	0.0754	0.1370	5.41	6000	0.02396	0.4089	0.4585	77.482	0.24870	21.1511	1041
6	11431	8.6699	1.9979	4.6026	0.4144	0.2488	0.2538	0.0412	0.2216	0.3947	0.1105	0.0026	0.0000	0.0748	0.1437	4.61	6000	0.02316	0.4076	0.4577	77.652	0.25813	21.5316	1214
7	13064	8.5660	1.9780	4.5441	0.4155	0.2547	0.2548	0.0000	0.2207	0.3982	0.1044	0.0026	0.0000	0.0754	0.1448	4.69	6000	0.02339	0.4076	0.4568	76.392	0.25879	21.6946	1387
