epoch	step	loss	box	cls	dfl	lr	mAP@0.5	mAP@0.75	train_mAP@0.5	gap	sec
59	33240	2.3471	0.0991	1.1254	0.6942	0.1484	0.5021	0.2920	0.9930	0.4908	12330
60	33794	2.3233	0.0974	1.1221	0.6878	0.1346	0.5106	0.3393	0.9903	0.4797	12534
61	34348	2.3331	0.0980	1.1242	0.6909	0.1214	0.5050	0.3196	0.9909	0.4859	12738
62	34902	2.3189	0.0978	1.1041	0.6889	0.1088	0.5442	0.3464	0.9934	0.4492	12942
63	35456	2.3244	0.0982	1.1071	0.6898	0.0968	0.5489	0.3580	0.9946	0.4457	13147
64	36010	2.2991	0.0965	1.0954	0.6853	0.0854	0.5249	0.3510	0.9953	0.4704	13351
65	36564	2.3018	0.0966	1.1025	0.6842	0.0747	0.5074	0.3357	0.9967	0.4892	13555
66	37118	2.2631	0.0946	1.0702	0.6789	0.0646	0.5309	0.3540	0.9947	0.4637	13760
67	37672	2.2815	0.0952	1.0832	0.6841	0.0552	0.5569	0.3839	0.9925	0.4356	13965
68	38226	2.2813	0.0953	1.0825	0.6837	0.0466	0.4999	0.3364	0.9935	0.4937	14170
69	38780	2.2922	0.0958	1.0913	0.6855	0.0386	0.5261	0.3523	0.9964	0.4703	14375
70	39334	2.2800	0.0948	1.0900	0.6829	0.0313	0.5280	0.3498	0.9946	0.4666	14579
71	39888	2.2465	0.0936	1.0536	0.6784	0.0248	0.5261	0.3606	0.9964	0.4703	14784
72	40442	2.2260	0.0923	1.0445	0.6744	0.0190	0.5233	0.3384	0.9946	0.4713	14988
73	40996	2.2555	0.0939	1.0681	0.6784	0.0140	0.5203	0.3259	0.9968	0.4765	15192
74	41550	2.2482	0.0933	1.0686	0.6760	0.0097	0.5334	0.3608	0.9930	0.4596	15396
75	42104	2.2554	0.0937	1.0702	0.6782	0.0062	0.5395	0.3654	0.9918	0.4523	15599
76	42658	2.2400	0.0929	1.0542	0.6774	0.0035	0.5252	0.3539	0.9967	0.4715	15804
77	43212	2.2722	0.0944	1.0812	0.6825	0.0016	0.5363	0.3567	0.9969	0.4606	16008
78	43766	2.2439	0.0935	1.0626	0.6744	0.0004	0.5304	0.3582	0.9948	0.4645	16212
79	44320	2.2505	0.0939	1.0587	0.6782	0.0000	0.5209	0.3576	0.9947	0.4738	16417
