epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.5761	2.6748	5.4790	1.3764	0.1080	0.1517	0.9801	0.1457	0.2474	0.0465	0.0018	0.0000	0.1273	0.0018	53.73	6000	0.50000	0.4336	0.4021	3.953	0.36745	33.5339	1025
1	3266	9.2793	2.3639	4.9902	1.3353	0.1874	0.2228	0.8852	0.2138	0.3877	0.1553	0.0079	0.0000	0.1660	0.0010	38.02	6000	0.50000	0.4534	0.4144	3.858	0.44370	40.3317	2053
2	4899	8.9847	2.2623	4.8773	1.3433	0.2185	0.2453	0.7269	0.2290	0.3956	0.1886	0.0202	0.0000	0.1688	0.0022	39.27	6000	0.50000	0.5127	0.4106	4.023	0.45197	41.0566	3085
3	6532	8.7233	2.1833	4.7721	1.3443	0.2430	0.2739	0.5314	0.2401	0.4096	0.2184	0.0351	0.0009	0.1788	-0.0073	27.50	6000	0.50000	0.5349	0.4028	4.111	0.46111	43.3865	4118
4	8165	8.5091	2.1234	4.6746	1.3465	0.2634	0.2830	0.3306	0.2411	0.4096	0.2096	0.0289	0.0000	0.1783	-0.0029	29.87	6000	0.50000	0.5200	0.4059	3.806	0.45243	42.0523	5150
5	9798	8.3222	2.0762	4.5861	1.3451	0.2775	0.3049	0.1578	0.2550	0.4140	0.2623	0.0509	0.0000	0.1846	-0.0019	26.94	6000	0.50000	0.5062	0.4062	3.957	0.46484	42.3756	6183
6	11431	8.1531	2.0298	4.5088	1.3434	0.2915	0.3117	0.0412	0.2554	0.4193	0.2439	0.0456	0.0018	0.1891	-0.0061	23.34	6000	0.50000	0.5096	0.4071	3.870	0.47046	43.1075	7219
7	13064	8.0543	1.9992	4.4652	1.3421	0.2999	0.3145	0.0000	0.2548	0.4263	0.2456	0.0439	0.0009	0.1837	0.0019	21.93	6000	0.50000	0.5048	0.4071	3.802	0.47105	43.3457	8253
