epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	9.7337	2.3960	5.3832	0.8929	0.1680	0.3201	0.9981	0.3000	0.5518	0.2193	0.0211	0.0009	0.1164	0.1596	24.67	6000	0.50000	0.4567	0.3937	3.667	0.53506	49.2408	825
1	3266	7.6038	1.7365	4.7345	0.5137	0.3354	0.4194	0.9884	0.3600	0.6281	0.3412	0.0526	0.0000	0.1237	0.2079	17.62	6000	0.50000	0.4718	0.4068	3.531	0.59389	57.2362	1652
2	4899	6.9764	1.5373	4.4951	0.4526	0.4017	0.4712	0.9709	0.3972	0.6746	0.4070	0.0886	0.0061	0.1164	0.2531	18.65	6000	0.50000	0.4623	0.4420	3.630	0.61186	57.3094	2479
3	6532	6.5384	1.4045	4.3106	0.4341	0.4467	0.5187	0.9458	0.4316	0.7000	0.4649	0.1509	0.0053	0.1204	0.2884	17.98	6000	0.50000	0.4609	0.4243	3.590	0.63579	59.2874	3306
4	8165	6.2305	1.3073	4.1800	0.4225	0.4806	0.5392	0.9135	0.4339	0.7000	0.4807	0.1482	0.0044	0.1094	0.2956	13.81	6000	0.50000	0.4794	0.4122	3.631	0.65375	63.3235	4134
5	9798	5.9606	1.2307	4.0430	0.4253	0.5076	0.5694	0.8745	0.4402	0.6833	0.5000	0.1579	0.0088	0.1069	0.3136	14.33	6000	0.50000	0.4713	0.4289	3.817	0.63972	61.8544	4961
6	11431	5.6358	1.1295	3.8896	0.4120	0.5426	0.6146	0.8294	0.4684	0.7289	0.5465	0.1816	0.0088	0.1110	0.3327	11.40	6000	0.50000	0.4867	0.4205	3.833	0.67361	65.1197	5788
7	13064	5.3949	1.0690	3.7605	0.3959	0.5651	0.6097	0.7790	0.4526	0.7026	0.5254	0.1868	0.0096	0.1145	0.3136	12.89	6000	0.50000	0.4823	0.4048	3.734	0.65226	61.2250	6615
8	14697	5.1409	1.0059	3.6152	0.3863	0.5871	0.6526	0.7241	0.4698	0.7167	0.5491	0.2114	0.0132	0.1187	0.3283	11.17	6000	0.50000	0.4817	0.4215	3.723	0.67227	63.8040	7441
9	16330	4.8983	0.9493	3.4636	0.3767	0.6090	0.6749	0.6656	0.4609	0.7132	0.5246	0.2061	0.0175	0.1101	0.3304	10.74	6000	0.50000	0.4842	0.4148	3.793	0.66589	62.7373	8268
10	17963	4.6536	0.8875	3.3258	0.3742	0.6300	0.7001	0.6044	0.4763	0.7105	0.5482	0.2351	0.0149	0.1123	0.3343	10.32	6000	0.50000	0.4945	0.4124	3.886	0.68060	63.7827	9094
11	19596	4.4846	0.8495	3.2148	0.3652	0.6452	0.7147	0.5415	0.4843	0.7272	0.5702	0.2254	0.0254	0.1109	0.3475	9.85	6000	0.50000	0.5016	0.4089	3.920	0.68946	66.1239	9922
12	21229	4.2211	0.7762	3.0578	0.3634	0.6726	0.7335	0.4780	0.4874	0.7316	0.5763	0.2395	0.0158	0.1121	0.3452	10.05	6000	0.50000	0.4987	0.4217	3.929	0.68229	64.3354	10749
13	22862	4.0342	0.7364	2.9308	0.3592	0.6877	0.7374	0.4148	0.4833	0.7158	0.5719	0.2421	0.0184	0.1103	0.3502	10.00	6000	0.50000	0.5029	0.4191	3.904	0.67580	63.8898	11577
14	24495	3.8304	0.6896	2.7987	0.3534	0.7050	0.7634	0.3530	0.4791	0.7140	0.5640	0.2518	0.0202	0.1113	0.3388	9.70	6000	0.50000	0.5113	0.4199	3.954	0.68052	64.4219	12403
15	26128	3.6392	0.6456	2.6650	0.3481	0.7224	0.7764	0.2935	0.4768	0.7140	0.5693	0.2351	0.0114	0.1147	0.3332	9.06	6000	0.50000	0.5111	0.4136	3.862	0.68634	64.7816	13229
16	27761	3.4851	0.6140	2.5591	0.3429	0.7346	0.7887	0.2374	0.4905	0.7211	0.5807	0.2500	0.0219	0.1188	0.3457	8.55	6000	0.50000	0.5119	0.4163	3.915	0.68456	64.5310	14056
17	29394	3.3274	0.5794	2.4496	0.3391	0.7486	0.8045	0.1855	0.4901	0.7246	0.5842	0.2605	0.0184	0.1155	0.3458	8.98	6000	0.50000	0.5162	0.4011	3.895	0.69004	65.6273	14883
18	31027	3.2029	0.5502	2.3649	0.3372	0.7600	0.8074	0.1388	0.4871	0.7307	0.5737	0.2535	0.0167	0.1117	0.3451	9.00	6000	0.50000	0.5165	0.4035	3.871	0.69426	66.5684	15709
19	32660	3.1045	0.5361	2.2839	0.3374	0.7659	0.8103	0.0978	0.4836	0.7193	0.5789	0.2605	0.0158	0.1077	0.3545	8.88	6000	0.50000	0.5159	0.4025	3.931	0.65750	62.6799	16535
20	34293	3.0291	0.5192	2.2344	0.3355	0.7722	0.8207	0.0634	0.4855	0.7237	0.5860	0.2465	0.0140	0.1131	0.3437	9.25	6000	0.50000	0.5202	0.4075	3.933	0.68749	65.3697	17362
21	35926	2.9650	0.5035	2.1914	0.3334	0.7784	0.8240	0.0360	0.4814	0.7096	0.5658	0.2588	0.0149	0.1127	0.3388	9.21	6000	0.50000	0.5173	0.4189	3.892	0.68695	65.1030	18188
22	37559	2.9224	0.4968	2.1561	0.3317	0.7818	0.8248	0.0161	0.4885	0.7228	0.5772	0.2596	0.0175	0.1121	0.3479	8.77	6000	0.50000	0.5204	0.4151	3.953	0.68869	65.7229	19014
23	39192	2.9043	0.4939	2.1427	0.3334	0.7825	0.8208	0.0040	0.4933	0.7333	0.5833	0.2561	0.0211	0.1124	0.3528	8.93	6000	0.50000	0.5165	0.4089	3.888	0.69045	65.5834	19840
24	40825	2.8811	0.4863	2.1285	0.3323	0.7857	0.8255	0.0000	0.4912	0.7298	0.5816	0.2553	0.0193	0.1141	0.3514	8.87	6000	0.50000	0.5187	0.4083	3.889	0.68687	65.1338	20667
