epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.6013	2.5392	5.5357	0.7908	0.1316	0.2291	0.9801	0.2281	0.4026	0.0851	0.0044	0.0000	0.0931	0.1357	24.92	6000	0.50000	0.4589	0.4233	4.307	0.32770	26.6326	174
1	3266	8.5557	2.0197	4.9977	0.4330	0.2445	0.2906	0.8852	0.2637	0.4895	0.1553	0.0105	0.0000	0.0892	0.1698	17.62	6000	0.50000	0.4482	0.4144	3.732	0.41501	34.5416	354
2	4899	8.0135	1.8792	4.7969	0.4051	0.2843	0.3196	0.7269	0.2819	0.5096	0.1956	0.0140	0.0009	0.0949	0.1828	17.95	6000	0.50000	0.4596	0.4181	3.708	0.44056	36.3226	534
3	6532	7.6638	1.7929	4.6338	0.3881	0.3118	0.3516	0.5314	0.2837	0.5298	0.1781	0.0096	0.0000	0.0926	0.1861	17.85	6000	0.50000	0.4542	0.4065	3.783	0.45853	39.2238	714
4	8165	7.3107	1.7050	4.4570	0.3699	0.3371	0.3810	0.3306	0.2912	0.5404	0.2061	0.0254	0.0000	0.0945	0.1967	16.44	6000	0.50000	0.4653	0.4047	3.864	0.45981	39.2184	896
5	9798	6.9638	1.6185	4.2704	0.3583	0.3649	0.4157	0.1578	0.3077	0.5658	0.2351	0.0254	0.0026	0.0943	0.2079	17.46	6000	0.50000	0.4612	0.4077	3.834	0.46752	39.8538	1076
6	11431	6.7004	1.5511	4.1278	0.3512	0.3868	0.4251	0.0412	0.3025	0.5544	0.2325	0.0246	0.0000	0.0941	0.2008	15.70	6000	0.50000	0.4633	0.4037	3.735	0.47336	40.6373	1255
7	13064	6.5616	1.5149	4.0486	0.3484	0.3984	0.4313	0.0000	0.3116	0.5675	0.2526	0.0263	0.0018	0.0941	0.2102	15.30	6000	0.50000	0.4666	0.4010	3.781	0.48007	41.1320	1433
