epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	9.8352	2.4711	5.4014	0.8272	0.1521	0.3297	0.9801	0.3025	0.5360	0.2360	0.0377	0.0000	0.1203	0.1548	15.56	6000	0.50000	0.4797	0.3925	3.427	0.53690	50.5348	825
1	3266	7.6172	1.7572	4.7401	0.4760	0.3281	0.4092	0.8852	0.3583	0.6263	0.3228	0.0728	0.0009	0.1248	0.2104	16.96	6000	0.50000	0.4647	0.3975	3.482	0.57529	53.8699	1651
2	4899	6.9819	1.5394	4.4956	0.4344	0.3998	0.4534	0.7269	0.3862	0.6535	0.3904	0.0886	0.0035	0.1149	0.2423	16.26	6000	0.50000	0.4748	0.4214	3.406	0.60046	56.6501	2477
3	6532	6.4675	1.3768	4.2763	0.4162	0.4562	0.5151	0.5314	0.4397	0.7202	0.4719	0.1439	0.0105	0.1153	0.2971	15.06	6000	0.50000	0.4727	0.4169	3.254	0.64726	60.3424	3304
4	8165	6.0120	1.2546	4.0487	0.4016	0.4981	0.5639	0.3306	0.4431	0.7114	0.4912	0.1561	0.0096	0.1141	0.2993	11.86	6000	0.50000	0.4815	0.4031	3.365	0.65604	62.6353	4130
5	9798	5.6460	1.1489	3.8610	0.3874	0.5360	0.5952	0.1578	0.4599	0.7254	0.5184	0.1763	0.0096	0.1132	0.3197	11.23	6000	0.50000	0.4847	0.4107	3.474	0.66868	63.7197	4957
6	11431	5.3280	1.0688	3.6831	0.3755	0.5634	0.6133	0.0412	0.4651	0.7342	0.5254	0.1746	0.0140	0.1105	0.3245	11.39	6000	0.50000	0.4871	0.4103	3.339	0.67766	64.5773	5784
7	13064	5.1710	1.0264	3.5941	0.3710	0.5793	0.6101	0.0000	0.4624	0.7298	0.5175	0.1789	0.0149	0.1082	0.3247	11.44	6000	0.50000	0.4871	0.4138	3.402	0.67175	64.4217	6611
