epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.5773	2.5262	5.5345	0.8373	0.1339	0.2302	0.9801	0.2303	0.4184	0.1009	0.0079	0.0009	0.0877	0.1440	32.80	6000	0.50000	0.4738	0.4377	4.358	0.31668	26.7345	355
1	3266	8.6440	2.0299	5.0035	0.5376	0.2408	0.2759	0.8852	0.2436	0.4482	0.1465	0.0079	0.0000	0.0900	0.1445	26.26	6000	0.50000	0.4606	0.4091	3.608	0.37701	31.9684	712
2	4899	8.1201	1.8969	4.8147	0.4844	0.2802	0.2706	0.7269	0.2441	0.4333	0.1351	0.0123	0.0000	0.0858	0.1585	25.36	6000	0.50000	0.4422	0.4105	3.849	0.42866	34.4107	1069
3	6532	7.7300	1.8052	4.6385	0.4339	0.3079	0.3541	0.5314	0.2989	0.5482	0.2281	0.0246	0.0009	0.0925	0.2011	22.65	6000	0.50000	0.4524	0.4135	3.985	0.44096	35.9823	1427
4	8165	7.3414	1.7060	4.4500	0.4066	0.3383	0.3907	0.3306	0.3073	0.5579	0.2474	0.0263	0.0000	0.0968	0.2078	16.53	6000	0.50000	0.4650	0.3992	3.858	0.46599	40.1111	1785
5	9798	7.0208	1.6293	4.2749	0.3927	0.3618	0.4151	0.1578	0.3123	0.5781	0.2447	0.0281	0.0000	0.0962	0.2116	16.10	6000	0.50000	0.4681	0.4013	3.821	0.46963	40.1279	2142
6	11431	6.7350	1.5610	4.1280	0.3874	0.3839	0.4285	0.0412	0.3061	0.5693	0.2421	0.0289	0.0000	0.0950	0.2071	15.33	6000	0.50000	0.4725	0.3999	3.721	0.47071	40.4192	2500
7	13064	6.6031	1.5295	4.0595	0.3818	0.3934	0.4321	0.0000	0.3122	0.5693	0.2509	0.0316	0.0000	0.0948	0.2125	15.48	6000	0.50000	0.4759	0.4061	3.750	0.46784	40.7391	2857
