epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	11.1120	2.5480	5.5376	0.8190	0.1270	0.1993	0.9801	0.1983	0.3500	0.0860	0.0026	0.0000	0.0922	0.1028	47.28	6000	0.04702	0.4627	0.4298	3.714	0.20512	17.1349	171
1	3266	9.0139	2.0611	5.0420	0.4498	0.2301	0.2629	0.8852	0.2575	0.4807	0.1544	0.0070	0.0000	0.0879	0.1593	26.29	6000	0.05436	0.4628	0.4285	3.843	0.30991	25.7402	345
2	4899	8.4728	1.9389	4.8505	0.4109	0.2653	0.2885	0.7269	0.2569	0.4465	0.1342	0.0175	0.0000	0.0896	0.1653	20.69	6000	0.06486	0.4644	0.4146	3.912	0.32810	28.6318	521
3	6532	8.0890	1.8642	4.6997	0.3951	0.2872	0.3163	0.5314	0.2689	0.4965	0.1825	0.0140	0.0000	0.0846	0.1800	18.21	6000	0.06977	0.4666	0.4070	3.763	0.37389	32.5256	695
4	8165	7.7209	1.7838	4.5340	0.3781	0.3127	0.3407	0.3306	0.2793	0.5123	0.1974	0.0193	0.0018	0.0855	0.1870	15.76	6000	0.07682	0.4649	0.4096	3.726	0.38900	33.7575	871
5	9798	7.3705	1.7054	4.3704	0.3703	0.3374	0.3580	0.1578	0.2831	0.5246	0.2026	0.0175	0.0000	0.0868	0.1888	14.04	6000	0.08330	0.4693	0.3959	3.612	0.40862	35.9307	1046
6	11431	7.1303	1.6546	4.2363	0.3555	0.3528	0.3763	0.0412	0.2885	0.5298	0.2026	0.0202	0.0018	0.0878	0.1950	13.92	6000	0.08289	0.4673	0.3973	3.714	0.41437	36.4508	1219
7	13064	6.9903	1.6208	4.1638	0.3521	0.3643	0.3774	0.0000	0.2898	0.5351	0.2149	0.0211	0.0000	0.0896	0.1938	14.16	6000	0.08455	0.4690	0.3879	3.672	0.41731	36.7157	1393
