epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.6310	2.5839	5.5270	0.8036	0.1216	0.2255	0.9801	0.2150	0.3868	0.1026	0.0044	0.0000	0.0909	0.1212	24.10	6000	0.50000	0.4599	0.4053	3.661	0.30736	25.8615	172
1	3266	8.6174	2.0351	5.0027	0.4560	0.2381	0.2561	0.8852	0.2297	0.4158	0.1412	0.0061	0.0000	0.0885	0.1410	15.18	6000	0.50000	0.4667	0.3886	3.648	0.35891	31.0320	349
2	4899	8.0468	1.8863	4.7918	0.4249	0.2828	0.3129	0.7269	0.2661	0.5026	0.1561	0.0114	0.0000	0.0932	0.1710	14.54	6000	0.50000	0.4705	0.3860	3.795	0.42439	34.3812	525
3	6532	7.7062	1.7959	4.6505	0.4088	0.3109	0.3565	0.5314	0.2938	0.5298	0.2351	0.0263	0.0009	0.0974	0.1960	13.50	6000	0.50000	0.4805	0.3881	3.633	0.44393	36.4961	701
4	8165	7.3510	1.7088	4.4713	0.3919	0.3383	0.3866	0.3306	0.3108	0.5579	0.2649	0.0281	0.0018	0.0986	0.2107	12.48	6000	0.50000	0.4827	0.3821	3.548	0.46230	38.9332	878
5	9798	7.0076	1.6269	4.2885	0.3721	0.3637	0.4107	0.1578	0.3026	0.5412	0.2404	0.0360	0.0018	0.0979	0.2045	12.00	6000	0.50000	0.4809	0.3883	3.625	0.45964	38.7472	1055
6	11431	6.7672	1.5668	4.1559	0.3676	0.3838	0.4218	0.0412	0.3097	0.5640	0.2561	0.0289	0.0009	0.0975	0.2145	10.12	6000	0.50000	0.4856	0.3706	3.553	0.48022	40.9213	1232
7	13064	6.6077	1.5232	4.0734	0.3600	0.3975	0.4265	0.0000	0.3146	0.5588	0.2667	0.0325	0.0009	0.0993	0.2148	10.49	6000	0.50000	0.4846	0.3840	3.575	0.47354	40.4870	1409
