epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.6244	2.5630	5.5708	0.7612	0.1241	0.2221	0.9801	0.2160	0.3763	0.0947	0.0044	0.0000	0.0890	0.1287	20.51	6000	0.50000	0.4602	0.4251	3.697	0.27875	24.2134	170
1	3266	8.7754	2.0883	5.0742	0.4299	0.2237	0.2535	0.8852	0.2306	0.4053	0.1114	0.0053	0.0000	0.0849	0.1429	14.09	6000	0.50000	0.4685	0.4094	3.936	0.35505	28.9508	342
2	4899	8.2245	1.9681	4.8735	0.4074	0.2557	0.2926	0.7269	0.2463	0.4491	0.1325	0.0149	0.0000	0.0858	0.1593	15.25	6000	0.50000	0.4660	0.3967	3.942	0.40681	33.9933	516
3	6532	7.8918	1.9053	4.7200	0.3835	0.2748	0.2977	0.5314	0.2584	0.4965	0.1728	0.0096	0.0000	0.0834	0.1689	13.73	6000	0.50000	0.4695	0.3953	3.919	0.42614	35.9260	692
4	8165	7.5601	1.8217	4.5480	0.3708	0.3000	0.3401	0.3306	0.2785	0.5228	0.1789	0.0149	0.0000	0.0920	0.1813	14.88	6000	0.50000	0.4614	0.3996	4.056	0.45046	37.5909	868
5	9798	7.2317	1.7366	4.3800	0.3611	0.3251	0.3687	0.1578	0.2810	0.5193	0.1904	0.0123	0.0000	0.0869	0.1901	12.27	6000	0.50000	0.4675	0.4009	3.916	0.45653	38.9429	1045
6	11431	7.0015	1.6821	4.2552	0.3533	0.3414	0.3902	0.0412	0.2886	0.5447	0.1842	0.0158	0.0000	0.0856	0.1930	12.88	6000	0.50000	0.4660	0.4019	3.911	0.46480	39.3405	1221
7	13064	6.8708	1.6513	4.1812	0.3483	0.3515	0.3811	0.0000	0.2829	0.5307	0.1886	0.0158	0.0000	0.0854	0.1901	12.12	6000	0.50000	0.4648	0.3938	3.859	0.46761	39.8133	1397
