epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	2878	2.3343	0.0770	0.9747	0.1754	1.0000	0.2214	0.3908	0.1138	0.0059	0.0012	0.1751	0.0463	1158
1	5756	1.9698	0.0548	0.8478	0.2612	0.9999	0.2477	0.4507	0.1479	0.0223	0.0012	0.1967	0.0510	2318
