epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.4061	2.4843	5.5124	0.8687	0.1400	0.2392	0.9801	0.2226	0.3974	0.0886	0.0044	0.0000	0.0926	0.1254	20.45	6000	1.00000	0.4565	0.4126	4.076	0.35447	28.5306	172
1	3266	8.4933	2.0062	4.9785	0.4910	0.2482	0.2937	0.8852	0.2647	0.4842	0.1605	0.0114	0.0000	0.0899	0.1671	18.64	6000	1.00000	0.4487	0.4075	3.906	0.42090	34.6206	348
2	4899	8.0137	1.8795	4.7879	0.4388	0.2851	0.3272	0.7269	0.2806	0.5140	0.2070	0.0193	0.0000	0.0906	0.1815	13.21	6000	1.00000	0.4563	0.3724	4.058	0.43839	35.9660	523
3	6532	7.6229	1.7725	4.6127	0.4048	0.3178	0.3594	0.5314	0.2953	0.5491	0.2132	0.0158	0.0000	0.0946	0.1918	16.99	6000	1.00000	0.4518	0.3921	3.868	0.45073	36.5462	697
4	8165	7.2740	1.6917	4.4334	0.3900	0.3420	0.3935	0.3306	0.3017	0.5605	0.2325	0.0281	0.0009	0.0932	0.2001	15.03	6000	1.00000	0.4578	0.3846	3.787	0.46784	39.6190	872
5	9798	6.9153	1.6003	4.2383	0.3761	0.3709	0.4295	0.1578	0.3076	0.5702	0.2491	0.0289	0.0000	0.0959	0.2027	13.66	6000	1.00000	0.4628	0.3837	3.799	0.47540	40.0634	1047
6	11431	6.6348	1.5287	4.0898	0.3688	0.3940	0.4431	0.0412	0.3075	0.5588	0.2386	0.0307	0.0018	0.0921	0.2038	13.92	6000	1.00000	0.4618	0.3914	3.740	0.47640	41.1554	1222
7	13064	6.5071	1.4976	4.0107	0.3675	0.4037	0.4474	0.0000	0.3066	0.5632	0.2421	0.0316	0.0009	0.0932	0.2034	13.77	6000	1.00000	0.4620	0.3948	3.792	0.47531	40.7392	1396
