epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.7997	2.6072	5.5277	0.9411	0.1179	0.2307	0.9801	0.2139	0.3728	0.0912	0.0044	0.0000	0.0881	0.1214	28.55	6000	0.50000	0.4596	0.4492	3.790	0.29343	23.9845	805
1	3266	8.4825	1.9678	4.9627	0.5146	0.2581	0.3125	0.8852	0.2911	0.5316	0.2237	0.0202	0.0000	0.1023	0.1850	18.74	6000	0.50000	0.4721	0.4230	3.480	0.43761	36.2591	1611
2	4899	7.7429	1.7897	4.7199	0.4833	0.3142	0.3717	0.7269	0.3192	0.5719	0.2719	0.0333	0.0018	0.0991	0.2109	14.65	6000	0.50000	0.4839	0.4075	3.667	0.47860	42.3685	2418
3	6532	7.2305	1.6476	4.5175	0.4644	0.3591	0.4205	0.5314	0.3280	0.5693	0.2877	0.0526	0.0009	0.1053	0.2187	13.79	6000	0.50000	0.4873	0.4097	3.746	0.50246	42.7990	3226
4	8165	6.7572	1.5178	4.3163	0.4388	0.4018	0.4423	0.3306	0.3397	0.6000	0.3096	0.0588	0.0026	0.1058	0.2242	14.14	6000	0.50000	0.4901	0.3966	3.656	0.49957	45.1012	4033
5	9798	6.3581	1.4120	4.1276	0.4187	0.4379	0.4835	0.1578	0.3509	0.6105	0.3333	0.0614	0.0044	0.1020	0.2427	11.32	6000	0.50000	0.4938	0.4100	3.607	0.52476	45.4003	4840
