epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
43	440	0.5722	0.0229	0.2289	0.7754	0.8096	0.6889	0.2348	0.4726	0.0945	0.0050	0.0000	0.1225	0.1166	221
44	450	0.5274	0.0228	0.2066	0.7970	0.7796	0.6726	0.2153	0.3980	0.0945	0.0000	0.0000	0.1161	0.1026	225
45	460	0.5975	0.0255	0.2350	0.7697	0.7735	0.6562	0.2310	0.4577	0.0846	0.0050	0.0000	0.1225	0.1117	230
46	470	0.5605	0.0224	0.2241	0.7797	0.7998	0.6395	0.2152	0.4179	0.0697	0.0050	0.0000	0.1278	0.0891	235
47	480	0.5255	0.0211	0.2099	0.7935	0.7923	0.6227	0.2309	0.4478	0.0796	0.0050	0.0000	0.1224	0.1110	240
48	490	0.5202	0.0199	0.2104	0.7933	0.8214	0.6057	0.2290	0.4428	0.0796	0.0000	0.0000	0.1175	0.1139	244
49	500	0.4828	0.0191	0.1936	0.8094	0.8380	0.5885	0.2232	0.4428	0.0995	0.0000	0.0000	0.1223	0.1041	249
50	510	0.5040	0.0208	0.2000	0.8039	0.8303	0.5713	0.2290	0.4577	0.0796	0.0050	0.0000	0.1256	0.1062	254
51	520	0.4537	0.0182	0.1813	0.8211	0.8336	0.5540	0.2227	0.4229	0.0846	0.0050	0.0000	0.1223	0.1033	259
52	530	0.4476	0.0173	0.1806	0.8220	0.8474	0.5366	0.2272	0.4328	0.0796	0.0050	0.0000	0.1166	0.1132	263
53	540	0.4011	0.0160	0.1605	0.8414	0.8459	0.5192	0.2262	0.4279	0.0796	0.0000	0.0000	0.1176	0.1112	268
54	550	0.4523	0.0192	0.1783	0.8242	0.8657	0.5017	0.2339	0.4428	0.0846	0.0050	0.0000	0.1234	0.1138	273
55	560	0.3908	0.0159	0.1556	0.8461	0.8498	0.4843	0.2264	0.4328	0.0945	0.0050	0.0000	0.1142	0.1157	278
56	570	0.3850	0.0153	0.1541	0.8474	0.8478	0.4669	0.2324	0.4627	0.0896	0.0050	0.0000	0.1194	0.1164	282
57	580	0.4088	0.0158	0.1649	0.8374	0.8560	0.4495	0.2199	0.4229	0.0846	0.0050	0.0000	0.1188	0.1042	287
58	590	0.3793	0.0148	0.1526	0.8491	0.8638	0.4321	0.2286	0.4527	0.0846	0.0050	0.0000	0.1139	0.1179	292
59	600	0.3831	0.0150	0.1541	0.8478	0.8691	0.4149	0.2264	0.4279	0.0945	0.0000	0.0000	0.1149	0.1144	297
60	610	0.3598	0.0153	0.1417	0.8598	0.8779	0.3978	0.2291	0.4478	0.0746	0.0000	0.0000	0.1170	0.1153	302
61	620	0.4054	0.0152	0.1648	0.8373	0.8596	0.3807	0.2289	0.4478	0.0995	0.0000	0.0000	0.1152	0.1170	306
62	630	0.4083	0.0160	0.1641	0.8382	0.8696	0.3639	0.2273	0.4428	0.0945	0.0000	0.0000	0.1242	0.1062	311
63	640	0.3339	0.0136	0.1330	0.8681	0.8938	0.3472	0.2160	0.4129	0.0846	0.0050	0.0000	0.1201	0.0986	316
64	650	0.3510	0.0141	0.1404	0.8612	0.8893	0.3306	0.2210	0.4428	0.0746	0.0050	0.0000	0.1193	0.1049	321
65	660	0.3239	0.0133	0.1287	0.8722	0.8885	0.3143	0.2144	0.4080	0.0746	0.0050	0.0000	0.1166	0.1007	326
66	670	0.3354	0.0137	0.1334	0.8677	0.8665	0.2982	0.2281	0.4577	0.0945	0.0000	0.0000	0.1217	0.1088	330
67	680	0.3171	0.0131	0.1257	0.8753	0.8950	0.2824	0.2186	0.4129	0.0846	0.0000	0.0000	0.1171	0.1038	335
68	690	0.2996	0.0112	0.1218	0.8791	0.8921	0.2668	0.2263	0.4428	0.0796	0.0000	0.0000	0.1190	0.1098	340
69	700	0.3017	0.0114	0.1222	0.8788	0.9071	0.2515	0.2277	0.4428	0.0896	0.0000	0.0000	0.1165	0.1143	345
70	710	0.2933	0.0116	0.1177	0.8830	0.8933	0.2365	0.2302	0.4478	0.0945	0.0000	0.0000	0.1212	0.1120	349
71	720	0.2962	0.0117	0.1189	0.8820	0.8899	0.2219	0.2211	0.4279	0.0647	0.0000	0.0000	0.1153	0.1089	354
72	730	0.3042	0.0119	0.1224	0.8789	0.8967	0.2075	0.2261	0.4328	0.0597	0.0000	0.0000	0.1216	0.1066	359
73	740	0.2967	0.0117	0.1191	0.8820	0.8970	0.1935	0.2208	0.4328	0.0697	0.0000	0.0000	0.1198	0.1037	364
74	750	0.2973	0.0113	0.1203	0.8805	0.8982	0.1799	0.2273	0.4279	0.0796	0.0000	0.0000	0.1199	0.1110	369
75	760	0.2630	0.0099	0.1067	0.8941	0.9112	0.1667	0.2243	0.4179	0.0896	0.0000	0.0000	0.1176	0.1101	375
76	770	0.3042	0.0112	0.1242	0.8772	0.9118	0.1539	0.2233	0.4129	0.0896	0.0000	0.0000	0.1173	0.1096	380
77	780	0.2246	0.0087	0.0905	0.9100	0.9180	0.1415	0.2275	0.4179	0.0846	0.0050	0.0000	0.1199	0.1113	385
78	790	0.2536	0.0102	0.1013	0.8993	0.9111	0.1296	0.2284	0.4428	0.0896	0.0000	0.0000	0.1182	0.1132	390
79	800	0.2595	0.0100	0.1048	0.8959	0.9033	0.1181	0.2270	0.4279	0.0796	0.0050	0.0000	0.1180	0.1122	395
80	810	0.2354	0.0087	0.0959	0.9048	0.9152	0.1071	0.2265	0.4428	0.0746	0.0000	0.0000	0.1229	0.1065	400
81	820	0.2425	0.0092	0.0981	0.9025	0.9190	0.0965	0.2269	0.4229	0.0597	0.0000	0.0000	0.1181	0.1122	405
82	830	0.2445	0.0094	0.0987	0.9020	0.9131	0.0865	0.2278	0.4229	0.0746	0.0000	0.0000	0.1163	0.1149	410
83	840	0.2265	0.0081	0.0929	0.9077	0.9278	0.0769	0.2252	0.4378	0.0746	0.0000	0.0000	0.1163	0.1121	415
84	850	0.2172	0.0082	0.0881	0.9125	0.9245	0.0679	0.2213	0.4328	0.0697	0.0050	0.0000	0.1185	0.1059	419
