epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	10.5273	2.5307	5.5596	0.7769	0.1299	0.1956	0.9801	0.1809	0.3158	0.0763	0.0000	0.0000	0.0896	0.0959	19.98	6000	0.50000	0.4685	0.4200	3.523	0.29578	25.9805	169
1	3266	8.6398	2.0881	5.0740	0.4403	0.2229	0.2505	0.8852	0.2238	0.4088	0.1096	0.0026	0.0000	0.0912	0.1353	17.78	6000	0.50000	0.4594	0.4071	3.622	0.41728	34.6688	343
2	4899	8.1249	1.9560	4.8799	0.4130	0.2605	0.2951	0.7269	0.2639	0.4939	0.1623	0.0132	0.0000	0.0887	0.1683	16.06	6000	0.50000	0.4637	0.4044	3.586	0.42747	36.5440	516
3	6532	7.7730	1.8676	4.7160	0.3835	0.2868	0.3146	0.5314	0.2667	0.5026	0.1746	0.0132	0.0000	0.0899	0.1723	14.43	6000	0.50000	0.4683	0.3959	3.483	0.44786	38.4878	691
4	8165	7.4551	1.7983	4.5480	0.3738	0.3083	0.3539	0.3306	0.2843	0.5386	0.1789	0.0105	0.0000	0.0938	0.1843	13.07	6000	0.50000	0.4653	0.4062	3.594	0.46598	40.3863	865
5	9798	7.1187	1.7089	4.3798	0.3619	0.3348	0.3761	0.1578	0.2833	0.5184	0.1930	0.0158	0.0000	0.0896	0.1883	12.98	6000	0.50000	0.4706	0.4069	3.622	0.47710	41.3483	1040
6	11431	6.8710	1.6428	4.2473	0.3544	0.3555	0.3968	0.0412	0.2869	0.5272	0.2000	0.0175	0.0000	0.0897	0.1904	12.41	6000	0.50000	0.4671	0.3977	3.493	0.48668	41.2789	1213
7	13064	6.7437	1.6104	4.1742	0.3516	0.3658	0.4077	0.0000	0.2984	0.5421	0.2254	0.0219	0.0000	0.0913	0.1972	11.95	6000	0.50000	0.4692	0.3895	3.546	0.48759	41.8458	1386
