epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	16.7265	2.7594	5.6026	0.9354	0.0874	0.1036	0.9801	0.1023	0.1825	0.0228	0.0018	0.0000	0.0693	0.0325	49.39	6000	0.04861	0.4844	0.4107	3.910	0.20557	17.8919	173
1	3266	12.8541	2.2930	5.1869	0.5739	0.1764	0.2235	0.8852	0.2162	0.3737	0.0930	0.0061	0.0000	0.0851	0.1349	38.61	6000	0.06617	0.4587	0.4209	3.894	0.30927	24.9811	346
2	4899	11.6191	2.1195	5.0060	0.4971	0.2156	0.2348	0.7269	0.2123	0.3754	0.1000	0.0035	0.0000	0.0861	0.1247	23.87	6000	0.07493	0.4692	0.4251	4.069	0.36185	31.5667	518
3	6532	10.9269	2.0549	4.8798	0.4719	0.2324	0.2517	0.5314	0.2244	0.3965	0.1246	0.0044	0.0000	0.0800	0.1463	13.84	6000	0.08277	0.4713	0.4080	3.631	0.42321	36.4919	692
4	8165	10.3077	1.9833	4.7403	0.4622	0.2534	0.2800	0.3306	0.2347	0.4175	0.1360	0.0035	0.0000	0.0748	0.1613	16.26	6000	0.09031	0.4703	0.4138	3.739	0.44437	37.9121	866
5	9798	9.8225	1.9353	4.6024	0.4284	0.2669	0.2780	0.1578	0.2244	0.4105	0.1298	0.0035	0.0000	0.0818	0.1419	13.56	6000	0.09151	0.4758	0.4081	3.620	0.45140	39.2859	1041
6	11431	9.4724	1.8797	4.4868	0.4116	0.2827	0.3005	0.0412	0.2470	0.4553	0.1509	0.0096	0.0000	0.0826	0.1639	13.04	6000	0.09426	0.4766	0.4071	3.664	0.47582	40.8592	1217
7	13064	9.2417	1.8553	4.4263	0.4125	0.2901	0.3034	0.0000	0.2438	0.4465	0.1412	0.0061	0.0000	0.0827	0.1605	12.79	6000	0.09365	0.4756	0.4043	3.639	0.47720	41.0777	1391
