epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
26	44091	2.6412	0.4386	1.9487	0.3420	0.8057	0.8148	0.9566	0.4451	0.6667	0.5412	0.2149	0.0158	0.1222	0.2995	9.39	6000	0.50000	0.5241	0.3766	4.068	0.62933	60.0145	22327
27	45724	2.5662	0.4278	1.8881	0.3373	0.8103	0.8575	0.9533	0.4825	0.7070	0.5851	0.2500	0.0114	0.1196	0.3328	8.19	6000	0.50000	0.5235	0.3872	4.074	0.68872	65.1336	23154
28	47357	2.4836	0.4152	1.8244	0.3380	0.8160	0.8643	0.9499	0.4678	0.6921	0.5658	0.2272	0.0149	0.1217	0.3118	9.10	6000	0.50000	0.5274	0.3828	4.109	0.67409	64.2899	23981
29	48990	2.3755	0.3992	1.7344	0.3358	0.8227	0.8570	0.9464	0.4610	0.6851	0.5649	0.2228	0.0140	0.1175	0.3184	9.21	6000	0.50000	0.5243	0.3682	3.886	0.65130	60.4003	24807
30	50623	2.3197	0.3853	1.6951	0.3358	0.8283	0.8777	0.9428	0.4879	0.7132	0.5939	0.2605	0.0149	0.1298	0.3257	7.92	6000	0.50000	0.5245	0.3840	4.115	0.69001	65.2532	25633
31	52256	2.2228	0.3698	1.6193	0.3329	0.8348	0.8781	0.9391	0.4721	0.7035	0.5746	0.2316	0.0184	0.1247	0.3197	9.40	6000	0.50000	0.5252	0.3710	4.040	0.66289	62.4939	26460
32	53889	2.1491	0.3590	1.5628	0.3315	0.8388	0.8833	0.9353	0.4772	0.7149	0.5693	0.2395	0.0123	0.1166	0.3371	8.99	6000	0.50000	0.5269	0.3798	4.103	0.67460	63.6636	27287
33	55522	2.0440	0.3426	1.4783	0.3310	0.8459	0.8855	0.9314	0.4839	0.7000	0.5833	0.2588	0.0132	0.1260	0.3312	9.95	6000	0.50000	0.5270	0.3759	4.178	0.67174	63.6798	28113
34	57155	1.9698	0.3348	1.4108	0.3308	0.8501	0.8958	0.9274	0.4888	0.7237	0.5904	0.2535	0.0149	0.1290	0.3323	8.27	6000	0.50000	0.5265	0.3780	4.067	0.69381	66.0645	28940
35	58788	1.9148	0.3292	1.3596	0.3311	0.8521	0.8959	0.9232	0.4837	0.7158	0.5781	0.2500	0.0123	0.1276	0.3255	7.67	6000	0.50000	0.5253	0.3659	3.994	0.68393	64.9527	29767
36	60421	1.8397	0.3118	1.3108	0.3286	0.8595	0.9003	0.9190	0.4865	0.7070	0.5956	0.2579	0.0175	0.1179	0.3447	11.03	6000	0.50000	0.5263	0.3704	4.031	0.66665	62.7383	30594
37	62054	1.7547	0.3024	1.2363	0.3265	0.8641	0.9083	0.9146	0.4868	0.7123	0.5860	0.2658	0.0202	0.1220	0.3406	7.95	6000	0.50000	0.5308	0.3853	4.205	0.67910	64.6689	31421
38	63687	1.7044	0.2952	1.1936	0.3281	0.8669	0.9116	0.9102	0.4873	0.7088	0.5895	0.2553	0.0158	0.1292	0.3258	8.63	6000	0.50000	0.5289	0.3769	4.181	0.67551	63.5478	32248
39	65320	1.6358	0.2851	1.1397	0.3254	0.8712	0.9131	0.9056	0.4814	0.7132	0.5895	0.2474	0.0070	0.1138	0.3445	8.15	6000	0.50000	0.5290	0.3740	4.092	0.68161	64.5745	33074
40	66953	1.5836	0.2758	1.0991	0.3261	0.8750	0.9108	0.9010	0.4797	0.7070	0.5825	0.2456	0.0175	0.1257	0.3186	9.24	6000	0.50000	0.5306	0.3592	4.074	0.66854	63.4223	33900
41	68586	1.5221	0.2715	1.0380	0.3268	0.8773	0.9181	0.8962	0.4826	0.7096	0.5912	0.2465	0.0140	0.1351	0.3167	7.73	6000	0.50000	0.5256	0.3652	4.149	0.67145	63.5851	34727
42	70219	1.4799	0.2657	1.0082	0.3236	0.8797	0.9225	0.8914	0.4827	0.7018	0.6000	0.2447	0.0211	0.1244	0.3313	9.94	6000	0.50000	0.5304	0.3585	4.015	0.66755	62.3610	35554
43	71852	1.4424	0.2576	0.9802	0.3212	0.8837	0.9245	0.8865	0.4857	0.7140	0.5974	0.2561	0.0202	0.1276	0.3315	8.07	6000	0.50000	0.5299	0.3499	4.086	0.68253	64.2177	36380
