epoch	step	loss	box	slot	tag	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	perplex	n_keys	pos_rms	q_rate	k_rate	logit_sd	box_mass	box_mass_x	sec
0	1633	9.8844	2.4584	5.4066	0.8520	0.1543	0.3165	0.9801	0.2853	0.5149	0.2070	0.0167	0.0000	0.1157	0.1430	24.24	6000	0.50000	0.4704	0.4200	3.912	0.47649	45.2697	823
1	3266	7.7338	1.7747	4.7459	0.4851	0.3226	0.3939	0.8852	0.3500	0.6167	0.3132	0.0702	0.0009	0.1211	0.1930	20.22	6000	0.50000	0.4603	0.4118	3.758	0.51319	50.0777	1648
2	4899	7.0888	1.5675	4.4758	0.4458	0.3894	0.4695	0.7269	0.4001	0.6614	0.4149	0.1114	0.0088	0.1203	0.2444	17.59	6000	0.50000	0.4595	0.3979	3.832	0.55440	52.7244	2472
3	6532	6.6172	1.4274	4.2473	0.4258	0.4382	0.5107	0.5314	0.4240	0.6974	0.4789	0.1237	0.0035	0.1131	0.2748	17.93	6000	0.50000	0.4587	0.3932	3.623	0.56590	53.3938	3297
4	8165	6.1709	1.3080	4.0145	0.4068	0.4784	0.5537	0.3306	0.4349	0.6974	0.4904	0.1316	0.0132	0.1194	0.2858	15.30	6000	0.50000	0.4560	0.3984	3.624	0.58543	55.8669	4122
5	9798	5.7502	1.2002	3.7764	0.3871	0.5157	0.5852	0.1578	0.4475	0.7105	0.5009	0.1675	0.0132	0.1192	0.2962	14.53	6000	0.50000	0.4577	0.3886	3.441	0.59226	56.0168	4947
6	11431	5.4661	1.1220	3.6106	0.3776	0.5431	0.6009	0.0412	0.4470	0.7114	0.5018	0.1544	0.0123	0.1198	0.2909	14.47	6000	0.50000	0.4663	0.3995	3.584	0.59847	57.4406	5773
7	13064	5.2878	1.0721	3.5091	0.3752	0.5604	0.6030	0.0000	0.4455	0.7026	0.4991	0.1667	0.0158	0.1184	0.2945	14.68	6000	0.50000	0.4594	0.3992	3.481	0.59321	56.4112	6598
