epoch	step	loss	l1	ciou	train_iou	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
0	2878	2.6202	0.0935	1.0763	0.1273	0.9950	0.1453	0.2664	0.0657	0.0035	0.0000	0.1447	0.0006	502
1	5756	2.4223	0.0800	1.0112	0.1769	0.9778	0.1663	0.2864	0.1127	0.0082	0.0000	0.1643	0.0020	1004
2	8634	2.3139	0.0753	0.9686	0.2089	0.9486	0.1754	0.3087	0.0951	0.0106	0.0000	0.1743	0.0012	1508
3	11512	2.2498	0.0725	0.9438	0.2275	0.9084	0.1766	0.3239	0.0998	0.0070	0.0000	0.1762	0.0004	2010
4	14390	2.1926	0.0700	0.9213	0.2451	0.8579	0.1772	0.3192	0.0939	0.0117	0.0000	0.1777	-0.0005	2512
