epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
189	1900	0.1490	0.0057	0.0603	0.9400	0.9494	0.0070	0.2258	0.4378	0.0846	0.0000	0.0000	0.1202	0.1072	937
190	1910	0.1369	0.0052	0.0555	0.9447	0.9473	0.0056	0.2254	0.4129	0.0896	0.0000	0.0000	0.1218	0.1051	942
191	1920	0.1478	0.0054	0.0605	0.9398	0.9473	0.0045	0.2235	0.4030	0.0746	0.0000	0.0000	0.1216	0.1033	947
192	1930	0.1471	0.0054	0.0600	0.9402	0.9464	0.0034	0.2226	0.4179	0.0796	0.0000	0.0000	0.1190	0.1052	952
193	1940	0.1497	0.0053	0.0615	0.9387	0.9506	0.0025	0.2229	0.3980	0.0896	0.0000	0.0000	0.1203	0.1046	957
194	1950	0.1385	0.0053	0.0561	0.9442	0.9444	0.0018	0.2230	0.4279	0.0647	0.0000	0.0000	0.1181	0.1065	962
195	1960	0.1598	0.0059	0.0652	0.9351	0.9440	0.0011	0.2241	0.4179	0.0846	0.0000	0.0000	0.1189	0.1070	967
196	1970	0.1453	0.0057	0.0585	0.9417	0.9429	0.0007	0.2267	0.4279	0.0846	0.0000	0.0000	0.1198	0.1086	972
197	1980	0.1759	0.0063	0.0723	0.9283	0.9388	0.0003	0.2224	0.4129	0.0796	0.0050	0.0000	0.1197	0.1045	977
198	1990	0.1442	0.0054	0.0587	0.9415	0.9414	0.0001	0.2239	0.4080	0.0846	0.0000	0.0000	0.1195	0.1055	982
199	2000	0.1572	0.0055	0.0648	0.9356	0.9474	0.0000	0.2233	0.4080	0.0746	0.0000	0.0000	0.1221	0.1030	988
