epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
43	440	0.6890	0.0288	0.2725	0.7336	0.7789	0.9235	0.2341	0.4328	0.0995	0.0000	0.0000	0.1210	0.1144	218
44	450	0.5825	0.0241	0.2311	0.7731	0.7979	0.9190	0.2313	0.4328	0.0945	0.0050	0.0000	0.1164	0.1168	223
45	460	0.5589	0.0219	0.2246	0.7803	0.7899	0.9145	0.2409	0.4577	0.1194	0.0050	0.0000	0.1218	0.1209	227
46	470	0.5629	0.0221	0.2262	0.7784	0.7909	0.9098	0.2389	0.4677	0.1045	0.0199	0.0000	0.1204	0.1205	232
47	480	0.5615	0.0231	0.2230	0.7812	0.7741	0.9050	0.2131	0.4428	0.0647	0.0050	0.0000	0.1068	0.1079	237
48	490	0.6489	0.0271	0.2568	0.7498	0.7043	0.9001	0.2261	0.4478	0.1045	0.0050	0.0000	0.1234	0.1036	242
49	500	0.6703	0.0277	0.2660	0.7399	0.7722	0.8951	0.2006	0.3980	0.0547	0.0000	0.0000	0.1001	0.1005	247
50	510	0.5868	0.0242	0.2330	0.7718	0.7662	0.8900	0.2310	0.4428	0.1095	0.0000	0.0000	0.1154	0.1167	252
51	520	0.5953	0.0245	0.2365	0.7682	0.7926	0.8847	0.2238	0.4080	0.0896	0.0149	0.0000	0.1078	0.1180	257
52	530	0.5493	0.0217	0.2205	0.7841	0.7852	0.8794	0.2402	0.4478	0.1045	0.0149	0.0000	0.1214	0.1201	263
53	540	0.5605	0.0221	0.2249	0.7797	0.8179	0.8740	0.2339	0.4726	0.0896	0.0000	0.0000	0.1193	0.1153	268
54	550	0.5466	0.0225	0.2171	0.7875	0.7933	0.8684	0.2295	0.4478	0.0846	0.0000	0.0000	0.1107	0.1196	274
55	560	0.5040	0.0204	0.2009	0.8025	0.8274	0.8628	0.2306	0.4478	0.0995	0.0100	0.0000	0.1096	0.1214	279
